property_id,latitude,longitude,park,gym,shop
0bb1ae444ef660932c2f395f14678c2b,51.5282153,-0.1898103,Paddington Recreation Ground,Paddington Recreation Ground,Tesco Express
6f4e93d5e90ec31fb3b8fb4910425bb1,51.5262988,-0.1878108,Paddington Recreation Ground,Paddington Recreation Ground,ALDI
470332fa9e8b6ce0acd9ca5be59bb997,51.5253629,-0.1881437,Paddington Recreation Ground,Paddington Recreation Ground,Waitrose & Partners
bef6e5be87308b375f21666bf01b5537,51.4993791,-0.3061432,Lammas Park,"Energie Fitness Brentford-Prices from £14.99 per month! Use promo code ""HALFPRICE""",Sainsbury's Local
f10b3e4b2125c21082ecfe01521baaa0,51.505114,-0.0423469,Stave Hill Ecological Park - TCV,Virgin Active,Sainsbury's Local
45a9c9d278b3ee5cf3b649bad69d31ad,51.4530646,-0.0772915,Dulwich Picture Gallery,JAGS Sports Club,Marks and Spencer
cc722b3217a37d6fa6593e65b7e29367,51.5405156,-0.1843922,No park,Swiss Cottage Leisure Centre,Waitrose & Partners
6915f99fdaf14039fd7afda074819971,51.5999521,-0.1717909,Victoria Park,David Lloyd Finchley,bp
c90f59aa72d6659cdaf39473b8c7bf91,51.480079,-0.194504,Eel Brook Common,David Lloyd Fulham,Waitrose & Partners
8bf2a87f7a86232ddad04837da43bc1b,51.481656,-0.1429994,Battersea Park,Pestana Chelsea Bridge Hotel & Spa,Waitrose & Partners
823ed7f459e6f7bb87cc7541b924ee63,51.481281,-0.1326213,Power Station Park,Third Space Battersea,Sainsbury's
459d21f47ed6081b1ef7de2b2044967d,51.4592683,-0.3030575,Richmond Green,Pools on the Park,Waitrose & Partners
66e87c444178ec4524df05acb52089c8,51.5189256,-0.1730681,Italian Gardens,Royal Lancaster London,ALDI
f0b2b1ed2f16837ce9c2c6e02f0deba7,51.5229155,-0.2001625,Emslie Horniman's Pleasance Park,David Lloyd Notting Hill,Poundland
82c1da341ccc3cdd9ee426b52cdd41cb,51.5754744,-0.11667,Parkland Walk,Virgin Active,Tesco Superstore
e8089c9abc83ade6aaf5cadcd02a7c0a,51.5270854,-0.096797,Barbican Conservatory,Finsbury Leisure Centre,ALDI
e0b7d32da23b60edd180b3ce766a55b3,51.5086937,-0.1484713,Hyde Park Winter Wonderland,The Lanesborough,Marks and Spencer
f5883d739c55b160bfd87f33b852b5b0,51.4882219,-0.2079667,Normand Park,Virgin Active,Tesco Superstore
0f84a2116eb4a8969964355193eca8aa,51.4574983,-0.2261501,Putney Heath Cricket Ground,Putney Leisure Centre,Sainsbury's
200e67a2adbd4f1f9190d6d4a1aed693,51.5121945,-0.2086389,Avondale Park,Westway Sports & Fitness Centre,Waitrose & Partners
770658db431dfe6ff3ad95622bcd66d9,51.5244683,-0.0574809,Spitalfields City Farm,Muscleworks Gym,Sainsbury's
c93a10d6716cc90266ca0fcc44b012b6,51.4496382,-0.1179015,Brockwell Park,Brockwell Lido,Sainsbury's
a7c1dc6d2c131af48fdc6e68e06ac50e,51.5245575,-0.0561695,Spitalfields City Farm,Muscleworks Gym,Sainsbury's
3d2e3e1cb6582f84cb288393868bf44b,51.5245575,-0.0561695,Spitalfields City Farm,Muscleworks Gym,Sainsbury's
4b3e94a3d112adc8060ad885d5fdf47d,51.51313829999999,-0.1522222,Hyde Park Winter Wonderland,The Marylebone Hotel,Marks and Spencer
28761ee50b0eb96f30c61b5cc341d62f,51.621756,-0.1055953,Broomfield Park,PureGym London Palmers Green,Sainsbury's
