property_id,latitude,longitude,closest_station,distance
5d71cc372a66151d8da40f398f0774ce,51.4154828,-0.218859,Dundonald Road Tram Stop,0.81
f72636fdecaa7a17ef1277470aecec62,51.4955643,-0.1657131,South Kensington Underground Station,0.61
7dba77c31e0705df9f8b635a264613a7,51.59084259999999,-0.0618819,Tottenham Hale Underground Station,0.32
70bab40227cfa6f95dd7f2f5986e167f,51.5166423,0.0109006,Canning Town DLR Station,0.34
40ffeca3bf050b9b890c9554eecedeb0,51.5544574,-0.1933721,West Hampstead Underground Station,0.88
ead50146ceca39eaa9fca6efe55f3d7a,51.59084259999999,-0.0618819,Tottenham Hale Underground Station,0.32
34f2810d2efd3814f4b5c611808264ed,51.4879297,-0.2794147,Gunnersbury Underground Station,0.52
bf3328d7e80fddf819c177bc3c37345d,51.4301736,-0.1520261,Tooting Bec Underground Station,0.81
e3c02db41b2a8caf7ac4183a1505630a,51.4192918,-0.2027961,Wimbledon Tram Stop,0.29
7dd3acb7333457ec56b6aaec1a9e71f9,51.4758762,-0.1859369,Fulham Broadway Underground Station,0.81
3c564038fcafbe0a60a3fd750d51b09e,51.59084259999999,-0.0618819,Tottenham Hale Underground Station,0.32
248082242fd693d1eda44621a6907fdf,51.4871735,-0.0363705,Canada Water Underground Station,1.5
5b0137a2bfde1259eab95f0f0fecc699,51.5804214,-0.1240854,Highgate Underground Station,1.54
4921f0e7eff85225e6d1c6965ce1a006,51.59084259999999,-0.0618819,Tottenham Hale Underground Station,0.32
3c564038fcafbe0a60a3fd750d51b09e,51.59084259999999,-0.0618819,Tottenham Hale Underground Station,0.32
711f716885600c129fbfecfb8616fb8c,51.4871735,-0.0363705,Canada Water Underground Station,1.5
0e25f8eb89e4afae97eb04037a57fc91,51.4871735,-0.0363705,Canada Water Underground Station,1.5
ad0c055cbfec5a5ec4cfe3d21af1b11e,51.5340373,-0.1199176,King's Cross St. Pancras Underground Station,0.44
88158bb8c106987d6dcf7118a5d5a558,51.4272428,-0.3302796,,inf
7e402f3af6eb21e6d248486c3024e85a,51.442328,-0.0153087,,inf
40ffeca3bf050b9b890c9554eecedeb0,51.5544574,-0.1933721,West Hampstead Underground Station,0.88
e0b7d32da23b60edd180b3ce766a55b3,51.5086937,-0.1484713,Green Park Underground Station,0.44
f5a734c4ead7fb94b7add90fc0fc079b,51.4999577,-0.0834213999999999,Borough Underground Station,0.7
62b14afe28a34579ba8a65d8ce4c6f89,51.4860461,-0.2086546,West Kensington Underground Station,0.51
ee9e008ff2ca0ae6ef2119c472df4c49,51.5404118,-0.0698869,Bethnal Green Underground Station,1.77
559dc2baee81ebb2fa612bee2db63f62,51.46337519999999,-0.1425563,Clapham Common Underground Station,0.35
c19de0f6537af0ecb8f22c59423b4117,51.4903219,-0.1226345,Vauxhall Underground Station,0.52
56fd76b07f9fc3f2ff7b3f6ac8463672,51.5039538,-0.0999878,Southwark Underground Station,0.37
67d4fdc7d8bfbd374e7c53763b1f3685,51.4633745,-0.1066992,Brixton Underground Station,0.58
c316fa9baa1e2f05861cce43c301f2e6,51.5558596,-0.179536,Hampstead Underground Station,0.15
9af5d3aac4c5cb4aa87a255b5dba82d4,51.4909517,-0.1999571,West Kensington Underground Station,0.47
e3408c0b084f33ff9e5f63a561f4b524,51.5121513,-0.266765,West Acton Underground Station,1.18
5bace84feaa8d97eaee4248804330bc7,51.4698437,-0.0772326,,inf
199a2417038d9a649ac6a667171b1976,51.4990283,-0.0837196,Borough Underground Station,0.71
9c837cd2ebb9325f520243bd973563d1,51.5434507,-0.2104054,Kilburn Underground Station,0.6
11767e247c09c317889562a81f48ce60,51.4807305,-0.2062152,Parsons Green Underground Station,0.7
48cc5f542a9615cb3a95fb6943534b91,51.5450479,-0.1865469,West Hampstead Underground Station,0.36
22f9d3bf99779d9864102403178ed461,51.5232541,-0.1260235,Russell Square Underground Station,0.12
d5152cbe6bb157d7043bf1b55d9edae4,51.4814963,-0.1279898,Nine Elms Underground Station,0.18
913ad42cb77e40df348282bb01f8cb7a,51.5219726,-0.0792336999999999,Liverpool Street Underground Station,0.58
f7fd8de09ab49b883e844bf0697c6089,51.5000773,-0.2139411,Kensington (Olympia) Underground Station,0.39
39f39db6393bd31ca171ecf632404cf5,51.5014203,-0.1862694,High Street Kensington Underground Station,0.45
ca66286f9f3c6140518061f8e8846d21,51.529622,-0.167885,St. John's Wood Underground Station,0.69
6b81cc7d6e2e78a9f15b62bac3efdf17,51.529622,-0.167885,St. John's Wood Underground Station,0.69
f522ae02ba32c2459e37c4ed94ea5ed5,51.5209533,-0.0985481,Barbican Underground Station,0.08
0321a604ebf0bdf04ac961d25f7fa6d0,51.5195008,0.0402407,Prince Regent DLR Station,1.21
0640bc6bc6ba29ccc6b8ea87669631c2,51.5189256,-0.1730681,Edgware Road (Bakerloo) Underground Station,0.25
796da6df6e86756e163a1e730663deba,51.48245379999999,-0.2235073,Hammersmith (Dist&Picc Line) Underground Station,1.1
588212836517f58ff40690bd869632fd,51.521304,-0.1722519,Edgware Road (Bakerloo) Underground Station,0.18
92b039bb5bfae1662857baa708c2cfee,51.4933698,-0.1277374,Pimlico Underground Station,0.63
4e89411150e4c9ca176f19d499ce8202,51.5104535,-0.193299,Notting Hill Gate Underground Station,0.24
4ad3b4533eeefc2a90509e67d6d61352,51.52654339999999,-0.1234621,Russell Square Underground Station,0.39
3e0601e16bc2eb5304056fdb81ffc25a,51.52078700000001,-0.17208,Edgware Road (Bakerloo) Underground Station,0.14
edd848c75c1fee12c291e3994e6be2b7,51.5098238,-0.227274,Wood Lane Underground Station,0.19
81280ade578dd1f134dc88442e4fbf9e,51.492252,-0.1445238,Victoria Underground Station,0.47
b68b85b514e8edf9e3a547703ac75aa8,51.464116,-0.1025749,Brixton Underground Station,0.87
5c63bc66136f382e758f14661d8416ce,51.6039783,-0.2421234,Colindale Underground Station,1.09
3b91618318864e81e608a3aab6cd48e4,51.4884755,-0.293828,Gunnersbury Underground Station,1.34
2fcade47c6c72d4b79615493ac115b97,51.5136325,-0.0088074,Langdon Park DLR Station,0.41
f623b21a09db3a813a02c732ce1a5468,51.4633745,-0.1066992,Brixton Underground Station,0.58
eb469b41dbb8bd5bfe01f607a32d9d3e,51.5069109,-0.1385186,Green Park Underground Station,0.3
bca5d91ea7f74850f663be77e6ce012f,51.52475430000001,-0.1608797,Marylebone Underground Station,0.32
c7141f9d5f6aed83313a97a4b9b1a345,51.5804214,-0.1240854,Highgate Underground Station,1.54
2fc83146443cbb9e0dce94935392dc68,51.5107993,-0.1356624,Piccadilly Circus Underground Station,0.15
ea280abfdce1712d660c296bfb5b1daa,51.4782403,-0.1415386,Battersea Power Station Underground Station,0.19
df73f24d177c7dc108c2c3485427ed36,51.4628563,-0.131726,Clapham North Underground Station,0.28
aa4a19f703ac34d7cf99e6e894a5218b,51.4766145,-0.1846161,Fulham Broadway Underground Station,0.84
3c807b0996049cbac9f7ae4f42bfb31f,51.5139828,-0.1690013,Lancaster Gate Underground Station,0.52
9980679cab25fd53076d3cfe3eba1115,51.5783128,-0.0241685,Walthamstow Central Underground Station,0.6
21b37abcd559bb2e3e8d7c02a827be99,51.488527,-0.2973406,Kew Gardens Underground Station,1.53
1fc96565a83dd6aeb9f84b82704eb31c,51.5042182,-0.0250777,Heron Quays DLR Station,0.27
63a52961ff340e01924c6454fbace84d,51.6287706,-0.0056225,,inf
90d74dcd341dd87ee837b9674a1eb16e,51.5789011,-0.0196529,Walthamstow Central Underground Station,0.45
e5ac85c0b2fcb01b276d8dee78fe45fa,51.5746379,-0.1107594,Manor House Underground Station,1.1
4f2292c51668cfea51fc75c4ac21ac9f,51.5030541,-0.1950953,High Street Kensington Underground Station,0.27
375312c46c09b8728475ded7846e238f,51.4937885,-0.2507702,Turnham Green Underground Station,0.3
fd26624b61bdd2dc29e72bc1d06c62a3,51.4879297,-0.2794147,Gunnersbury Underground Station,0.52
7b7eeb4835ba83e1ac491a67188d6808,51.5951701,0.021617,South Woodford Underground Station,0.54
ef9395fd96db54bcf06dab4320b0359c,51.3669723,-0.1666779,,inf
e9151cb39e140d0740d451e96ac2811d,51.540492,-0.0955599,Highbury & Islington Underground Station,0.85
